date,location,total_vaccinations,total_distributed,people_fully_vaccinated,daily_vaccinations
2021-01-12,Alabama,78134,377025,7270,
2021-01-13,Alabama,84040,378975,9245,5906
2021-01-14,Alabama,92300,435350,,7083
2021-01-15,Alabama,100567,444650,13488,7478
2021-01-16,Alabama,,,,7498
2021-01-17,Alabama,,,,7509
2021-01-18,Alabama,,,,7517
2021-01-19,Alabama,130795,444650,16346,7523
2021-01-20,Alabama,139200,483275,17956,7880
2021-01-21,Alabama,165919,493125,21345,10517
2021-01-22,Alabama,199314,519525,24840,14107
2021-01-23,Alabama,221540,521225,27422,16202
2021-01-24,Alabama,243737,521225,29736,18294
2021-01-25,Alabama,250612,521225,29978,18196
2021-01-26,Alabama,254959,569000,30933,17738
2021-01-27,Alabama,266444,634000,33595,18178
2021-01-28,Alabama,278993,655275,37431,16153
2021-01-29,Alabama,300915,659400,44073,14514
2021-01-30,Alabama,342436,659400,53742,17271
2021-01-31,Alabama,353974,659400,55331,15748
2021-02-01,Alabama,358280,659400,56308,15381
2021-02-02,Alabama,371882,680550,58825,16703
2021-02-03,Alabama,388339,765150,62990,17414
2021-02-04,Alabama,408428,799675,69155,18491
2021-02-05,Alabama,430597,799875,76603,18526
2021-02-06,Alabama,455173,804100,84278,16105
2021-02-07,Alabama,462332,804100,86141,15480
2021-02-08,Alabama,467636,804100,88453,15622
2021-02-09,Alabama,490969,823600,95033,17012
2021-02-10,Alabama,515802,861175,102520,18209
2021-02-11,Alabama,543237,911875,111036,19258
2021-02-12,Alabama,571115,936200,122019,20074
2021-02-13,Alabama,601159,963600,133029,20855
2021-02-14,Alabama,612254,965550,137032,21417
2021-02-15,Alabama,,,,22405
2021-02-16,Alabama,636682,1015775,149288,20816
2021-02-17,Alabama,650020,1032175,154341,19174
2021-02-18,Alabama,672038,1032175,165104,18400
2021-02-19,Alabama,739132,1077600,192304,24002
2021-02-20,Alabama,776936,1078800,214512,25111
2021-02-21,Alabama,788613,1082100,219639,25194
2021-02-22,Alabama,793614,1082100,228101,24164
2021-02-23,Alabama,815108,1084440,239425,25489
2021-02-24,Alabama,839703,1138650,253615,27098
2021-02-25,Alabama,864757,1170120,268465,27531
2021-02-26,Alabama,893859,1380380,286095,22104
2021-02-27,Alabama,931090,1402180,307868,22022
2021-02-28,Alabama,942502,1402280,313290,21984
2021-03-01,Alabama,948393,1402280,316073,22111
2021-03-02,Alabama,972161,1461320,330046,22436
2021-03-03,Alabama,1000031,1469100,346841,22904
2021-03-04,Alabama,1032171,1530470,365456,23916
2021-03-05,Alabama,1064578,1556460,383078,24388
2021-03-06,Alabama,1099697,1628350,402061,24087
2021-03-07,Alabama,1110132,1628350,406723,23947
2021-03-08,Alabama,1116676,1628350,409937,24040
2021-03-09,Alabama,1140984,1689050,420083,24118
2021-03-10,Alabama,1173820,1775660,435018,24827
2021-03-11,Alabama,1209802,1816230,452746,25376
2021-03-12,Alabama,1249205,1838400,472325,26375
2021-03-13,Alabama,1288242,1918560,492755,26935
2021-03-14,Alabama,1298612,1918560,497653,26926
2021-03-15,Alabama,1306419,1918560,501344,27106
2021-03-16,Alabama,1332298,2004160,511869,27331
2021-03-17,Alabama,1363987,2080870,523649,27167
2021-03-18,Alabama,1390066,2118650,533375,25752
2021-03-19,Alabama,1426696,2141210,547257,25356
2021-03-20,Alabama,1460782,2177880,561254,24649
2021-03-21,Alabama,1472666,2177880,566632,24865
2021-03-22,Alabama,1479271,2177880,569127,24693
2021-03-23,Alabama,1509445,2275030,579598,25307
2021-03-24,Alabama,1542416,2403720,589979,25490
2021-03-25,Alabama,1579091,2459980,600666,27004
2021-03-26,Alabama,1611404,2497410,611694,26387
2021-03-27,Alabama,1645858,2535880,623385,26439
2021-03-28,Alabama,1659102,2537050,628500,26634
2021-03-29,Alabama,1666585,2537050,631388,26759
2021-03-30,Alabama,1697641,2722700,643450,26885
2021-03-31,Alabama,1728736,2796630,656899,26617
2021-04-01,Alabama,1771979,2839540,673773,27555
2021-04-02,Alabama,1813462,2872410,691082,28865
2021-04-03,Alabama,1847243,2891780,705197,28769
2021-04-04,Alabama,1858833,2892950,709849,28533
2021-04-05,Alabama,1864857,2892950,711596,28325
2021-04-06,Alabama,1896920,3106870,725270,28468
2021-04-07,Alabama,1935221,3149910,744961,29498
2021-04-08,Alabama,1976344,3170520,764450,29195
2021-04-09,Alabama,2021334,3248260,788325,29696
2021-04-10,Alabama,2065327,3278980,811323,31155
2021-04-11,Alabama,2082605,3278980,819550,31967
2021-04-12,Alabama,2092489,3278980,824052,32519
2021-04-13,Alabama,2127317,3358930,844353,32914
2021-04-14,Alabama,2168891,3493380,868550,33381
2021-04-15,Alabama,2207392,3516420,893002,33007
2021-04-16,Alabama,2245574,3531670,915654,32034
2021-04-17,Alabama,2280686,3664640,935377,30766
2021-04-18,Alabama,2292276,3664740,943129,29953
2021-04-19,Alabama,2297563,3664740,946333,29296
2021-04-20,Alabama,2327764,3761730,966251,28635
2021-04-21,Alabama,2360527,3796070,987379,27377
2021-01-12,Alaska,35838,141600,5400,
2021-01-13,Alaska,38680,149475,6166,2842
2021-01-14,Alaska,42596,150450,,3379
2021-01-15,Alaska,49039,150450,9406,4400
2021-01-16,Alaska,,,,4381
2021-01-17,Alaska,,,,4369
2021-01-18,Alaska,,,,4362
2021-01-19,Alaska,66331,150450,10802,4356
2021-01-20,Alaska,68293,150350,11283,4230
2021-01-21,Alaska,71907,154325,12352,4187
2021-01-22,Alaska,81096,155500,13718,4580
2021-01-23,Alaska,88344,155700,15206,4997
2021-01-24,Alaska,94257,155700,16201,5225
2021-01-25,Alaska,97031,155700,16673,5003
2021-01-26,Alaska,98149,162925,16815,4545
2021-01-27,Alaska,101597,170575,18097,4758
2021-01-28,Alaska,105858,178075,20045,4850
2021-01-29,Alaska,110396,192350,21593,4186
2021-01-30,Alaska,115268,193150,23320,3846
2021-01-31,Alaska,119590,193150,24545,3619
2021-02-01,Alaska,122020,193150,25467,3570
2021-02-02,Alaska,123443,196975,26207,3613
2021-02-03,Alaska,125765,229975,27528,3453
2021-02-04,Alaska,129936,240325,30172,3440
2021-02-05,Alaska,134002,245700,32593,3372
2021-02-06,Alaska,139147,248500,35773,3411
2021-02-07,Alaska,146082,248500,39541,3785
2021-02-08,Alaska,150934,248500,40812,4131
2021-02-09,Alaska,152874,256900,41698,4204
2021-02-10,Alaska,156255,260300,43552,4356
2021-02-11,Alaska,162273,270250,46006,4620
2021-02-12,Alaska,167436,271350,48969,4776
2021-02-13,Alaska,175138,271550,52380,5142
2021-02-14,Alaska,183831,271550,57117,5393
2021-02-15,Alaska,,,,5212
2021-02-16,Alaska,191008,271550,60964,5448
2021-02-17,Alaska,193617,271550,62474,5337
2021-02-18,Alaska,199151,271550,65245,5268
2021-02-19,Alaska,216223,299935,71892,6970
2021-02-20,Alaska,227403,299935,78623,7466
2021-02-21,Alaska,235141,299935,82272,7330
2021-02-22,Alaska,238279,299935,84131,7266
2021-02-23,Alaska,239927,304875,84746,6988
2021-02-24,Alaska,243650,315765,86836,7148
2021-02-25,Alaska,249559,319265,90214,7201
2021-02-26,Alaska,254334,332415,92233,5444
2021-02-27,Alaska,259538,342535,95331,4591
2021-02-28,Alaska,264741,342535,97554,4229
2021-03-01,Alaska,268406,342535,99916,4304
2021-03-02,Alaska,269941,372725,100902,4288
2021-03-03,Alaska,273350,399225,102382,4243
2021-03-04,Alaska,276891,409125,104129,3905
2021-03-05,Alaska,281467,421375,106558,3876
2021-03-06,Alaska,288625,426715,110053,4155
2021-03-07,Alaska,295046,426715,113787,4329
2021-03-08,Alaska,298144,426715,115635,4248
2021-03-09,Alaska,302687,430685,117345,4678
2021-03-10,Alaska,307769,445125,119073,4917
2021-03-11,Alaska,313365,462875,122197,5211
2021-03-12,Alaska,318526,470325,124170,5294
2021-03-13,Alaska,324271,472395,126647,5092
2021-03-14,Alaska,333357,472395,130857,5473
2021-03-15,Alaska,337141,472395,132532,5571
2021-03-16,Alaska,339647,484795,133907,5280
2021-03-17,Alaska,345987,499625,135810,5460
2021-03-18,Alaska,351093,509025,138464,5390
2021-03-19,Alaska,356055,514835,140169,5361
2021-03-20,Alaska,362698,520685,143349,5490
2021-03-21,Alaska,372435,520685,145975,5583
2021-03-22,Alaska,375590,520685,146903,5493
2021-03-23,Alaska,376555,529765,147214,5273
2021-03-24,Alaska,379296,540815,148725,4758
2021-03-25,Alaska,384503,549315,150980,4773
2021-03-26,Alaska,389775,568125,153706,4817
2021-03-27,Alaska,395650,570465,156698,4707
2021-03-28,Alaska,401502,570465,160197,4152
2021-03-29,Alaska,403284,570465,160932,3956
2021-03-30,Alaska,404339,572905,161504,3969
2021-03-31,Alaska,407233,601225,163100,3991
2021-04-01,Alaska,411529,615825,165325,3861
2021-04-02,Alaska,415690,629315,167561,3702
2021-04-03,Alaska,420238,636665,170747,3513
2021-04-04,Alaska,428556,636665,176825,3865
2021-04-05,Alaska,431436,636665,178886,4022
2021-04-06,Alaska,432690,658125,179359,4050
2021-04-07,Alaska,436681,684095,181924,4207
2021-04-08,Alaska,443287,692995,186597,4537
2021-04-09,Alaska,448337,703015,189958,4664
2021-04-10,Alaska,455719,706185,194814,5069
2021-04-11,Alaska,461286,706185,198792,4676
2021-04-12,Alaska,465250,706185,201795,4831
2021-04-13,Alaska,496015,717325,222407,9046
2021-04-14,Alaska,499742,722835,225131,9009
2021-04-15,Alaska,499815,729305,225221,8075
2021-04-16,Alaska,504860,735675,228333,8075
2021-04-17,Alaska,509843,746705,231393,7732
2021-04-18,Alaska,515501,746705,234553,7745
2021-04-19,Alaska,517521,746705,235666,7467
2021-04-20,Alaska,519030,746805,236706,3288
2021-04-21,Alaska,524758,749605,239813,3574
2021-01-12,American Samoa,2124,10650,260,
2021-01-13,American Samoa,2577,10650,362,453
2021-01-14,American Samoa,2971,10650,,424
2021-01-15,American Samoa,3883,18450,738,586
2021-01-16,American Samoa,,,,494
2021-01-17,American Samoa,,,,439
2021-01-18,American Samoa,,,,402
2021-01-19,American Samoa,4756,18450,770,376
2021-01-20,American Samoa,5313,18450,836,391
2021-01-21,American Samoa,5664,18450,929,385
2021-01-22,American Samoa,6569,18450,940,384
2021-01-23,American Samoa,6831,18450,948,390
2021-01-24,American Samoa,8046,18450,948,532
2021-01-25,American Samoa,8046,18450,948,501
2021-01-26,American Samoa,8315,18450,948,508
2021-01-27,American Samoa,9085,18450,950,539
2021-01-28,American Samoa,9085,18450,950,489
2021-01-29,American Samoa,9925,18450,997,479
2021-01-30,American Samoa,9925,18450,997,442
2021-01-31,American Samoa,9925,18450,997,268
2021-02-01,American Samoa,10761,18450,1046,388
2021-02-02,American Samoa,10761,18450,1046,349
2021-02-03,American Samoa,11066,18450,1305,283
2021-02-04,American Samoa,11257,29450,1494,310
2021-02-05,American Samoa,12029,29450,2252,301
2021-02-06,American Samoa,12259,29450,2478,333
2021-02-07,American Samoa,12259,29450,2478,333
2021-02-08,American Samoa,12259,29450,2478,214
2021-02-09,American Samoa,12680,29450,2885,274
2021-02-10,American Samoa,13318,29450,3494,322
2021-02-11,American Samoa,13513,29450,3685,322
2021-02-12,American Samoa,15032,29450,4968,429
2021-02-13,American Samoa,15382,29450,5308,446
2021-02-14,American Samoa,15382,29450,5308,446
2021-02-15,American Samoa,,,,498
2021-02-16,American Samoa,16109,29450,5860,490
2021-02-17,American Samoa,16269,29450,5989,422
2021-02-18,American Samoa,16269,29450,5989,394
2021-02-19,American Samoa,16269,29450,5989,177
2021-02-20,American Samoa,17740,29450,6893,337
2021-02-21,American Samoa,18778,29450,7811,485
2021-02-22,American Samoa,18816,29450,7859,439
2021-02-23,American Samoa,18816,29450,7859,387
2021-02-24,American Samoa,19739,29450,8020,496
2021-02-25,American Samoa,19739,29450,8020,496
2021-02-26,American Samoa,20336,29450,8079,581
2021-02-27,American Samoa,20338,29450,8079,371
2021-02-28,American Samoa,20338,29450,8079,223
2021-03-01,American Samoa,20338,29450,8080,217
2021-03-02,American Samoa,21079,29450,8142,323
2021-03-03,American Samoa,21079,29450,8142,191
2021-03-04,American Samoa,21625,38810,8252,269
2021-03-05,American Samoa,21625,43210,8252,184
2021-03-06,American Samoa,21625,43210,8252,184
2021-03-07,American Samoa,21625,43210,8252,184
2021-03-08,American Samoa,21625,43210,8254,184
2021-03-09,American Samoa,21625,43210,8254,78
2021-03-10,American Samoa,23696,43210,8706,374
2021-03-11,American Samoa,23696,43210,8706,296
2021-03-12,American Samoa,23696,43210,8706,296
2021-03-13,American Samoa,23696,43210,8713,296
2021-03-14,American Samoa,23696,43210,8713,296
2021-03-15,American Samoa,24300,43210,9023,382
2021-03-16,American Samoa,24300,43210,9024,382
2021-03-17,American Samoa,24300,43210,9025,86
2021-03-18,American Samoa,24300,43210,9025,86
2021-03-19,American Samoa,24300,43210,9026,86
2021-03-20,American Samoa,24300,43210,9027,86
2021-03-21,American Samoa,24300,43210,9028,86
2021-03-22,American Samoa,27015,43210,10196,388
2021-03-23,American Samoa,27263,43210,10240,423
2021-03-24,American Samoa,27837,43210,10552,505
2021-03-25,American Samoa,27864,43810,10566,509
2021-03-26,American Samoa,28503,43810,11043,600
2021-03-27,American Samoa,28527,43810,11046,604
2021-03-28,American Samoa,28527,43810,11047,604
2021-03-29,American Samoa,28527,43810,11049,216
2021-03-30,American Samoa,29079,43810,11460,259
2021-03-31,American Samoa,31167,43810,13406,476
2021-04-01,American Samoa,31167,43810,13406,472
2021-04-02,American Samoa,31761,43810,13754,465
2021-04-03,American Samoa,31761,43810,13755,462
2021-04-04,American Samoa,31775,43810,13755,464
2021-04-05,American Samoa,31775,43810,13755,464
2021-04-06,American Samoa,31775,43810,13755,385
2021-04-07,American Samoa,32856,43810,14337,241
2021-04-08,American Samoa,32904,43810,14338,248
2021-04-09,American Samoa,33545,43810,14737,255
2021-04-10,American Samoa,33545,43810,14737,255
2021-04-11,American Samoa,34165,43810,14846,341
2021-04-12,American Samoa,34165,43810,14846,341
2021-04-13,American Samoa,34165,43810,14846,341
2021-04-14,American Samoa,34786,43810,15239,276
2021-04-15,American Samoa,34786,43810,15239,269
2021-04-16,American Samoa,35972,43810,15807,347
2021-04-17,American Samoa,35972,43810,15807,347
2021-04-18,American Samoa,35972,43810,15809,258
2021-04-19,American Samoa,35972,43810,15809,258
2021-04-20,American Samoa,35972,43810,15811,258
2021-04-21,American Samoa,36093,43810,15849,187
2021-01-12,Arizona,141355,563025,8343,
2021-01-13,Arizona,154745,569525,12392,13390
2021-01-14,Arizona,173665,570625,,16155
2021-01-15,Arizona,197086,571725,20837,18577
2021-01-16,Arizona,,,,18257
2021-01-17,Arizona,,,,18065
2021-01-18,Arizona,,,,17937
2021-01-19,Arizona,266276,571725,30892,17846
2021-01-20,Arizona,281887,752250,34788,18163
2021-01-21,Arizona,303899,797550,41613,18605
2021-01-22,Arizona,329349,822050,48938,18895
2021-01-23,Arizona,360958,829500,55014,20939
2021-01-24,Arizona,390623,829500,58291,22706
2021-01-25,Arizona,413662,829500,62711,23526
2021-01-26,Arizona,430892,837200,64551,23517
2021-01-27,Arizona,458258,990000,68846,25196
2021-01-28,Arizona,487149,1011375,73927,26179
2021-01-29,Arizona,521097,1012275,80773,27393
2021-01-30,Arizona,557369,1013375,86990,28059
2021-01-31,Arizona,594104,1013375,92666,29069
2021-02-01,Arizona,620608,1013375,95671,29564
2021-02-02,Arizona,631662,1082050,96660,28681
2021-02-03,Arizona,656040,1181000,102107,28255
2021-02-04,Arizona,686116,1185700,111645,28424
2021-02-05,Arizona,719458,1186000,121227,28337
2021-02-06,Arizona,766788,1186000,136236,29917
2021-02-07,Arizona,809230,1186000,151392,30732
2021-02-08,Arizona,841018,1186000,161324,31487
2021-02-09,Arizona,863807,1265950,166798,33164
2021-02-10,Arizona,897757,1370175,177565,34531
2021-02-11,Arizona,941575,1391475,192542,36494
2021-02-12,Arizona,990296,1393475,207912,38691
2021-02-13,Arizona,1041021,1393475,226158,39176
2021-02-14,Arizona,1089155,1393575,244971,39989
2021-02-15,Arizona,,,,40122
2021-02-16,Arizona,1154583,1396475,264416,41539
2021-02-17,Arizona,1164900,1396475,267967,38163
2021-02-18,Arizona,1202770,1396475,283955,37314
2021-02-19,Arizona,1376405,1679175,335248,55158
2021-02-20,Arizona,1425295,1688255,356055,54896
2021-02-21,Arizona,1469676,1688255,376371,54360
2021-02-22,Arizona,1506572,1688255,386775,54958
2021-02-23,Arizona,1525794,1755635,393019,53030
2021-02-24,Arizona,1555942,1977925,407127,55863
2021-02-25,Arizona,1607544,2064265,432137,57825
2021-02-26,Arizona,1671294,2143135,462074,42127
2021-02-27,Arizona,1728239,2148015,490688,43278
2021-02-28,Arizona,1792447,2148015,525426,46110
2021-03-01,Arizona,1849259,2148015,555881,48955
2021-03-02,Arizona,1889742,2244885,575562,51993
2021-03-03,Arizona,1930999,2392275,601274,53580
2021-03-04,Arizona,1979929,2453985,627446,53198
2021-03-05,Arizona,2038623,2598435,658220,52476
2021-03-06,Arizona,2043739,2623735,662235,45071
2021-03-07,Arizona,2162602,2623735,715023,52879
2021-03-08,Arizona,2215219,2623735,738410,52280
2021-03-09,Arizona,2245854,2638855,750217,50873
2021-03-10,Arizona,2293559,2887485,767107,51794
2021-03-11,Arizona,2350374,2909125,792205,52921
2021-03-12,Arizona,2418267,3000645,826020,54235
2021-03-13,Arizona,2484603,3024585,858909,62981
2021-03-14,Arizona,2557630,3024585,891501,56433
2021-03-15,Arizona,2605621,3024585,913522,55772
2021-03-16,Arizona,2655283,3137385,939580,58490
2021-03-17,Arizona,2697523,3299085,955402,57709
2021-03-18,Arizona,2755436,3325025,978991,57866
2021-03-19,Arizona,2760907,3444465,981650,48949
2021-03-20,Arizona,2825939,3461245,1004408,48762
2021-03-21,Arizona,2893024,3461245,1029376,47913
2021-03-22,Arizona,2942907,3461245,1049219,48184
2021-03-23,Arizona,2970577,3584605,1059558,45042
2021-03-24,Arizona,3010048,3734465,1074666,44646
2021-03-25,Arizona,3106598,3797605,1108397,50166
2021-03-26,Arizona,3169061,3940655,1129146,58308
2021-03-27,Arizona,3239538,3970345,1154039,59086
2021-03-28,Arizona,3308671,3970345,1182684,59378
2021-03-29,Arizona,3363062,3970345,1205521,60022
2021-03-30,Arizona,3399399,4153635,1220787,61260
2021-03-31,Arizona,3451567,4304045,1242599,63074
2021-04-01,Arizona,3512579,4365955,1267484,57997
2021-04-02,Arizona,3581448,4518235,1298327,58912
2021-04-03,Arizona,3653578,4538885,1332012,59149
2021-04-04,Arizona,3720230,4538885,1366330,58794
2021-04-05,Arizona,3772436,4538885,1392647,58482
2021-04-06,Arizona,3809075,4762745,1399810,58525
2021-04-07,Arizona,3855073,4911345,1421780,57644
2021-04-08,Arizona,3901177,4958025,1453432,55514
2021-04-09,Arizona,3975606,5127405,1495431,56308
2021-04-10,Arizona,4054007,5161045,1540110,57204
2021-04-11,Arizona,4125010,5161045,1579065,57826
2021-04-12,Arizona,4168939,5161045,1602317,56643
2021-04-13,Arizona,4203995,5292185,1618978,56417
2021-04-14,Arizona,4250790,5444665,1643434,56531
2021-04-15,Arizona,4306602,5476875,1670496,57918
2021-04-16,Arizona,4366496,5627335,1702622,55841
2021-04-17,Arizona,4440592,5732985,1743376,55226
2021-04-18,Arizona,4505745,5738495,1780037,54391
2021-04-19,Arizona,4550226,5738495,1804526,54470
2021-04-20,Arizona,4581441,5872195,1822140,53921
2021-04-21,Arizona,4631928,6028435,1851575,54448
2021-01-12,Arkansas,40879,274400,8,
2021-01-13,Arkansas,94854,297800,12849,53975
2021-01-14,Arkansas,108316,297800,,33718
2021-01-15,Arkansas,118338,297800,18781,25820
2021-01-16,Arkansas,,,,20865
2021-01-17,Arkansas,,,,17892
2021-01-18,Arkansas,,,,15910
2021-01-19,Arkansas,142337,297800,21734,14494
2021-01-20,Arkansas,173312,334825,26541,11208
2021-01-21,Arkansas,173312,361550,26541,9285
2021-01-22,Arkansas,201676,362050,31600,11905
2021-01-23,Arkansas,201676,368650,31600,11048
2021-01-24,Arkansas,214240,368650,32572,11986
2021-01-25,Arkansas,221095,368650,33159,12108
2021-01-26,Arkansas,236290,394775,37055,13422
2021-01-27,Arkansas,252824,406175,40910,11359
2021-01-28,Arkansas,252824,453300,40910,11359
2021-01-29,Arkansas,269993,453500,45918,9760
2021-01-30,Arkansas,288651,453700,52118,12425
2021-01-31,Arkansas,303793,453700,56264,12793
2021-02-01,Arkansas,311230,453700,58613,12876
2021-02-02,Arkansas,314470,467800,59903,11169
2021-02-03,Arkansas,322447,499325,63356,9946
2021-02-04,Arkansas,338227,516925,68778,12200
2021-02-05,Arkansas,351175,535550,73810,11597
2021-02-06,Arkansas,374674,540050,81564,12289
2021-02-07,Arkansas,393445,540050,90308,12807
2021-02-08,Arkansas,401664,540050,94058,12919
2021-02-09,Arkansas,404127,580775,95202,12808
2021-02-10,Arkansas,418054,581875,103669,13658
2021-02-11,Arkansas,430803,593775,110751,13225
2021-02-12,Arkansas,447146,629900,118465,13710
2021-02-13,Arkansas,457386,630700,124040,11816
2021-02-14,Arkansas,472536,630700,130637,11299
2021-02-15,Arkansas,,,,10903
2021-02-16,Arkansas,483438,631675,136415,11330
2021-02-17,Arkansas,486949,649225,138254,9842
2021-02-18,Arkansas,490737,664225,140662,8562
2021-02-19,Arkansas,517271,691525,150812,10018
2021-02-20,Arkansas,520904,691525,152675,9074
2021-02-21,Arkansas,528467,691525,157511,7990
2021-02-22,Arkansas,535413,691525,161660,8204
2021-02-23,Arkansas,540192,794230,164064,8108
2021-02-24,Arkansas,554466,816730,172834,9645
2021-02-25,Arkansas,572553,826130,184592,11688
2021-02-26,Arkansas,597990,861230,200532,11531
2021-02-27,Arkansas,622665,892660,214402,14537
2021-02-28,Arkansas,649311,892660,227450,17263
2021-03-01,Arkansas,661572,892660,233685,18023
2021-03-02,Arkansas,670815,963040,236706,18660
2021-03-03,Arkansas,687433,964840,242999,18995
2021-03-04,Arkansas,704368,990640,249956,18831
2021-03-05,Arkansas,723756,1064920,257367,17967
2021-03-06,Arkansas,744139,1088150,265226,17353
2021-03-07,Arkansas,765260,1088150,274376,16564
2021-03-08,Arkansas,773357,1088150,277217,15969
2021-03-09,Arkansas,782750,1158630,279815,15991
2021-03-10,Arkansas,799184,1162330,285284,15964
2021-03-11,Arkansas,800091,1209300,285811,13675
2021-03-12,Arkansas,836608,1222370,297193,16122
2021-03-13,Arkansas,882630,1251620,309784,19784
2021-03-14,Arkansas,882630,1251620,309827,16767
2021-03-15,Arkansas,892588,1251620,313372,17033
2021-03-16,Arkansas,897059,1332600,314915,16330
2021-03-17,Arkansas,912660,1336570,319158,16211
2021-03-18,Arkansas,929862,1359410,324554,18539
2021-03-19,Arkansas,952919,1407320,330804,16616
2021-03-20,Arkansas,974973,1466950,335958,13192
2021-03-21,Arkansas,999488,1466950,345022,16694
2021-03-22,Arkansas,1008575,1466950,348589,16570
2021-03-23,Arkansas,1012415,1535620,349951,16479
2021-03-24,Arkansas,1032499,1537720,357343,17120
2021-03-25,Arkansas,1056307,1576060,366664,18064
2021-03-26,Arkansas,1086176,1608210,376230,19037
2021-03-27,Arkansas,1114449,1662850,388657,19925
2021-03-28,Arkansas,1143893,1662850,403398,20629
2021-03-29,Arkansas,1153739,1662850,407828,20738
2021-03-30,Arkansas,1159108,1744560,410003,20956
2021-03-31,Arkansas,1183295,1763540,419462,21542
2021-04-01,Arkansas,1209965,1814280,432735,21951
2021-04-02,Arkansas,1244076,1838220,449549,22557
2021-04-03,Arkansas,1305535,1908100,481056,27298
2021-04-04,Arkansas,1306811,1908100,482062,23274
2021-04-05,Arkansas,1316063,1908100,487363,23189
2021-04-06,Arkansas,1325141,1977830,489479,23719
2021-04-07,Arkansas,1351223,2024830,503310,23990
2021-04-08,Arkansas,1379591,2035230,518824,24232
2021-04-09,Arkansas,1405741,2121930,533220,23095
2021-04-10,Arkansas,1440169,2138430,551699,19233
2021-04-11,Arkansas,1469291,2138430,567249,23211
2021-04-12,Arkansas,1478774,2138430,572844,23244
2021-04-13,Arkansas,1484206,2228060,576509,22724
2021-04-14,Arkansas,1508295,2243300,590188,22439
2021-04-15,Arkansas,1535135,2251270,606113,22221
2021-04-16,Arkansas,1561736,2296340,621708,22285
2021-04-17,Arkansas,1585770,2370830,636000,20800
2021-04-18,Arkansas,1611803,2370830,651184,20359
2021-04-19,Arkansas,1618371,2370830,655130,19942
2021-04-20,Arkansas,1624969,2402760,658933,20109
2021-04-21,Arkansas,1645403,2472660,670829,19587
2021-01-12,Bureau of Prisons,14663,16050,1077,
2021-01-13,Bureau of Prisons,15694,16050,1077,1031
2021-01-14,Bureau of Prisons,16118,16450,,728
2021-01-15,Bureau of Prisons,16685,16750,2086,674
2021-01-16,Bureau of Prisons,,,,564
2021-01-17,Bureau of Prisons,,,,499
2021-01-18,Bureau of Prisons,,,,455
2021-01-19,Bureau of Prisons,17628,16750,2091,424
2021-01-20,Bureau of Prisons,19076,24750,3092,483
2021-01-21,Bureau of Prisons,20838,24750,3800,674
2021-01-22,Bureau of Prisons,21315,24750,3962,661
2021-01-23,Bureau of Prisons,23345,24750,4977,918
2021-01-24,Bureau of Prisons,24082,24750,5044,989
2021-01-25,Bureau of Prisons,24360,24750,5301,995
2021-01-26,Bureau of Prisons,25513,30050,5971,1126
2021-01-27,Bureau of Prisons,27326,30050,6846,1179
2021-01-28,Bureau of Prisons,28514,30050,7368,1097
2021-01-29,Bureau of Prisons,29754,30050,8011,1206
2021-01-30,Bureau of Prisons,30945,30050,8389,1086
2021-01-31,Bureau of Prisons,31285,30050,8490,1029
2021-02-01,Bureau of Prisons,31285,30050,8490,989
2021-02-02,Bureau of Prisons,32349,35950,9079,977
2021-02-03,Bureau of Prisons,34255,36450,10130,990
2021-02-04,Bureau of Prisons,36195,36650,11259,1097
2021-02-05,Bureau of Prisons,38164,37050,12426,1201
2021-02-06,Bureau of Prisons,39616,37050,13362,1239
2021-02-07,Bureau of Prisons,40333,37050,13826,1293
2021-02-08,Bureau of Prisons,40333,37050,13826,1293
2021-02-09,Bureau of Prisons,41040,42475,14173,1242
2021-02-10,Bureau of Prisons,42751,42475,15085,1214
2021-02-11,Bureau of Prisons,44177,42475,15931,1140
2021-02-12,Bureau of Prisons,45617,43775,16449,1065
2021-02-13,Bureau of Prisons,46926,43775,17017,1044
2021-02-14,Bureau of Prisons,47564,43775,17256,1033
2021-02-15,Bureau of Prisons,,,,1071
2021-02-16,Bureau of Prisons,48090,44750,17256,1007
2021-02-17,Bureau of Prisons,48614,45725,17598,838
2021-02-18,Bureau of Prisons,49050,45725,17789,696
2021-02-19,Bureau of Prisons,49913,47675,18276,614
2021-02-20,Bureau of Prisons,51072,49175,18879,592
2021-02-21,Bureau of Prisons,52266,49175,19556,672
2021-02-22,Bureau of Prisons,52347,49175,19637,646
2021-02-23,Bureau of Prisons,52743,49475,19996,665
2021-02-24,Bureau of Prisons,53728,57155,20628,731
2021-02-25,Bureau of Prisons,55100,57155,21439,864
2021-02-26,Bureau of Prisons,57396,57155,22339,1069
2021-02-27,Bureau of Prisons,59234,57155,22939,1166
2021-02-28,Bureau of Prisons,60283,57155,23057,1145
2021-03-01,Bureau of Prisons,60283,57155,23057,1134
2021-03-02,Bureau of Prisons,61002,65335,23532,1180
2021-03-03,Bureau of Prisons,62745,65335,24513,1288
2021-03-04,Bureau of Prisons,66375,65335,25853,1611
2021-03-05,Bureau of Prisons,70129,65335,27041,1819
2021-03-06,Bureau of Prisons,71759,65335,27625,1789
2021-03-07,Bureau of Prisons,72174,65335,27841,1699
2021-03-08,Bureau of Prisons,72174,65335,27841,1699
2021-03-09,Bureau of Prisons,72539,73715,28141,1648
2021-03-10,Bureau of Prisons,73254,73715,28645,1501
